"province","date","confirmed","deaths","recovered","tested","ICU","hospital","population","Lat","Long","confirmed_dailyAvg7","confirmed_1M","deaths_dailyAvg7","deaths_1M","caseFatality","recovered_dailyAvg7","recovered_1M","tested_daily","tested_1M"
"Northwest Territories",2020-04-08,5,0,1,1406,0,0,44598,64.8255,-124.8457,0.428571428571429,112.112650791515,0,0,0,0.142857142857143,22.4225301583031,28,31526.0774025741
"Ontario",2020-04-08,5838,211,2074,84601,246,605,14446515,51.2538,-85.3232,426.714285714286,404.111302968225,20,14.605598651301,3.61425145597808,197.857142857143,143.56403603222,3237,5856.15285070482
"Prince Edward Island",2020-04-08,25,0,17,1575,0,0,154748,46.5107,-63.4168,0.571428571428571,161.552976452038,0,0,0,2,109.856023987386,93,10177.8375164784
"Quebec",2020-04-08,10031,175,827,112107,181,632,8433301,52.9399,-73.5491,774.285714285714,1189.45120066271,20.2857142857143,20.751067701722,1.74459176552687,96,98.063617081852,5109,13293.3711247826
"Repatriated",2020-04-08,13,0,13,0,0,0,0,0,0,0,Inf,0,NA,0,0.571428571428571,Inf,0,NA
"Saskatchewan",2020-04-08,271,3,103,15621,2,8,1168423,52.9399,-106.4509,11.1428571428571,231.93655037602,0,2.56756328829542,1.1070110701107,10.4285714285714,88.1530062314761,899,13369.3020421543
"Yukon",2020-04-08,8,0,4,794,0,0,40369,64.2823,-135,0.285714285714286,198.171864549531,0,0,0,0.142857142857143,99.0859322747653,19,19668.5575565409
"Canada",2020-04-08,19853,472,4666,374372,516,1466,37949851,56.130367,-106.346771,1380.42857142857,523.137758828091,46.7142857142857,12.4374664870226,2.37747443711278,427.142857142857,122.951734382304,13832,9864.91356711783
"Alberta",2020-04-09,1451,32,592,70247,15,53,4345737,53.9333,-116.5765,69,333.890431013197,2.71428571428571,7.36353810642476,2.20537560303239,59.7142857142857,136.225454968858,1485,16164.5769175631
"British Columbia",2020-04-09,1370,50,858,53505,68,132,5020302,53.7267,-127.6476,35.5714285714286,272.891949528136,2.71428571428571,9.95956020175679,3.64963503649635,31,170.906053062146,1093,10657.7253718999
"Manitoba",2020-04-09,224,3,76,15259,5,11,1360396,53.7609,-98.8139,8.14285714285714,164.657937835748,0.285714285714286,2.20524023887162,1.33928571428571,9.28571428571429,55.8660860514144,551,11216.5869349807
"New Brunswick",2020-04-09,111,0,53,6930,4,5,772094,46.5653,-66.4619,2.28571428571429,143.764878369732,0,0,0,4,68.6444914738361,381,8975.59105497517
"Newfoundland and Labrador",2020-04-09,236,2,96,4390,0,6,523790,53.1355,-57.6604,7.57142857142857,450.562248229252,0.142857142857143,3.81832413753604,0.847457627118644,12.2857142857143,183.27955860173,241,8381.2214818916
"Nova Scotia",2020-04-09,373,2,82,12550,4,10,965382,44.682,-63.7443,25.7142857142857,386.375548746507,0.285714285714286,2.07171876003489,0.536193029490617,9.42857142857143,84.9404691614304,862,13000.0352192189
"Northwest Territories",2020-04-09,5,0,1,1429,0,0,44598,64.8255,-124.8457,0.428571428571429,112.112650791515,0,0,0,0.142857142857143,22.4225301583031,23,32041.7955962151
"Ontario",2020-04-09,6397,233,2305,88698,264,632,14446515,51.2538,-85.3232,444.142857142857,442.805756267169,21.1428571428571,16.1284572784509,3.64233234328592,210.571428571429,159.554051617293,4097,6139.75065958814
"Prince Edward Island",2020-04-09,25,0,17,1630,0,0,154748,46.5107,-63.4168,0.428571428571429,161.552976452038,0,0,0,2,109.856023987386,55,10533.2540646729
"Quebec",2020-04-09,10912,216,1112,116645,196,679,8433301,52.9399,-73.5491,770.571428571428,1293.91800434966,25.7142857142857,25.6127464204112,1.97947214076246,126.857142857143,131.858213053228,4538,13831.4759546707
"Repatriated",2020-04-09,13,0,13,0,0,0,0,0,0,0,Inf,0,NA,0,0.428571428571429,Inf,0,NA
"Saskatchewan",2020-04-09,278,3,115,16672,2,8,1168423,52.9399,-106.4509,10.2857142857143,237.927531382042,0,2.56756328829542,1.07913669064748,11.2857142857143,98.4232593846578,1051,14268.8050474871
"Yukon",2020-04-09,8,0,4,794,0,0,40369,64.2823,-135,0.285714285714286,198.171864549531,0,0,0,0.142857142857143,99.0859322747653,0,19668.5575565409
"Canada",2020-04-09,21403,541,5324,388749,558,1536,37949851,56.130367,-106.346771,1375,563.981133944373,53,14.2556554438119,2.52768303508854,477.571428571429,140.29040588328,14377,10243.7556342448
"Alberta",2020-04-10,1500,39,713,72370,15,54,4345737,53.9333,-116.5765,60.7142857142857,345.16584873866,3,8.97431206720517,2.6,73.8571428571429,164.068833433777,2123,16653.1016488112
"British Columbia",2020-04-10,1410,55,879,53505,65,128,5020302,53.7267,-127.6476,33.7142857142857,280.859597689541,2.85714285714286,10.9555162219325,3.90070921985816,29.4285714285714,175.089068346884,0,10657.7253718999
